Time,TimeLower,TimeUpper,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup
1156.000032,,,s,6.546361741,0.492952993,0.492952993,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1165.999968,,,s,5.861381645,0.46627542,0.46627542,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1175.99999,,,s,6.137620052,0.488250304,0.488250304,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1186.000013,,,s,5.445026528,0.456181654,0.456181654,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1196.000035,,,s,6.546361741,0.492952993,0.492952993,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1205.999971,,,s,6.367955209,0.479518656,0.479518656,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1215.999994,,,s,5.495408739,0.460402651,0.460402651,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1226.000016,,,s,5.754399373,0.457764934,0.457764934,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1236.000038,,,s,6.251726928,0.470766454,0.470766454,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1245.999974,,,s,5.649369748,0.473301429,0.473301429,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1255.999997,,,s,5.248074602,0.439681118,0.439681118,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1266.000019,,,s,5.152286446,0.431656033,0.431656033,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1276.000042,,,s,5.861381645,0.46627542,0.46627542,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1285.999978,,,s,5.54625713,0.464662704,0.464662704,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1296,,,s,4.487453899,0.394847302,0.394847302,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1306.000022,,,s,5.248074602,0.439681118,0.439681118,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1315.999958,,,s,4.786300923,0.400993945,0.400993945,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1325.999981,,,s,5.152286446,0.431656033,0.431656033,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1336.000003,,,s,4.965923215,0.416042613,0.416042613,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1346.000026,,,s,4.055085354,0.373795618,0.373795618,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1355.999962,,,s,4.570881896,0.402188061,0.402188061,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1361.000016,,,s,4.655860935,0.390065747,0.390065747,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1369.800029,,,s,5.152286446,0.474935033,0.474935033,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1520.899978,,,s,4.246195639,0.409123185,0.409123185,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1531.199981,,,s,3.01995172,0.315993356,0.315993356,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1680.89999,,,s,3.250872974,0.419480978,0.419480978,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
1692.199987,,,s,3.564511334,0.35824201,0.35824201,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
5843.599978,,,s,0.575439937,0.030937284,0.030937284,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
11763.60002,,,s,0.244343055,0.019437595,0.019437595,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
12066.59998,,,s,0.255858589,0.019266619,0.019266619,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
12369.60003,,,s,0.201372425,0.018562403,0.018562403,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
29912.09999,,,s,0.088715601,0.017921023,0.017921023,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
47261.09998,,,s,0.027289778,0.001996798,0.001996798,mJy,Spectral Flux,5.48E+14,,,Hz,uvot-v,uvot-v_offset
658.599984,,,s,18.19700859,0.332132838,0.332132838,mJy,Spectral Flux,6.83E+14,,,Hz,uvot-b,uvot-b_offset
