Time,TimeUnits,Value,ValueLower,ValueUpper,ValueUnits,ValueType,Wave,WaveLower,WaveUpper,WaveUnits,Filter,CalGroup,HostGroup,SlopGroup,,,,,,,,,,,,,,,
5650.2,s,0.110662378,0.01776574,0.01776574,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,,slop_uvot,,,,,,,,,,,,,,,
25080,s,0.022490546,0.005894677,0.005894677,mJy,Spectral Flux,1.15E+15,,,Hz,uvw1,uvw1_offset,,slop_uvot,,,,,,,,,,,,,,,
1122,s,0.394457302,0.063326181,0.063326181,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,,,,,,,,,,,,,,,
1467,s,0.35318317,0.059418205,0.059418205,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,,,,,,,,,,,,,,,
1641,s,0.293764965,0.056080937,0.056080937,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,,,,,,,,,,,,,,,
1987.2,s,0.125892541,0.04038587,0.04038587,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,,,,,,,,,,,,,,,
2159.4,s,0.220800473,0.050192234,0.050192234,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,,,,,,,,,,,,,,,
5768.4,s,0.226986485,0.045016399,0.045016399,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,,,,,,,,,,,,,,,
6240,s,0.081658237,0.013109414,0.013109414,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,,,,,,,,,,,,,,,
30018,s,0.035974934,0.00893535,0.00893535,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,,,,,,,,,,,,,,,
30324,s,0.029376497,0.008483535,0.008483535,mJy,Spectral Flux,8.65E+14,,,Hz,uvot-u,uvot-u_offset,,slop_uvot,,,,,,,,,,,,,,,
